2010,1,0,아바타,2009-12-17,81455728000,124896892500,8151952,13302619,714,111860,미국,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",12세이상관람가,"SF,액션,어드벤처",제임스 카메론,"샘 워싱턴,조 샐다나,시고니 위버"
2010,2,1,아저씨,2010-08-04,47101332000,47101332000,6178248,6178248,501,109853,한국,오퍼스픽쳐스(유),씨제이엔터테인먼트,청소년관람불가,"액션,드라마",이정범,"원빈,김새론,김희원,김성오,김태훈,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕"
2010,3,2,인셉션,2010-07-21,43394990000,43394990000,5827444,5827444,531,81891,미국,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),12세이상관람가,"드라마,미스터리",크리스토퍼 놀란,"레오나르도 디카프리오,엘렌 페이지,마리온 꼬띨라르"
2010,4,3,의형제,2010-02-04,40153729000,40153729000,5416812,5416812,569,118243,한국,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",(주)쇼박스,15세이상관람가,"드라마,액션",장훈,"송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,홍서백,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복"
2010,5,4,아이언맨 2,2010-04-29,32635195500,32635195500,4425003,4425003,921,87665,미국,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,12세이상관람가,"SF,액션,어드벤처",존 파브로,"로버트 다우니 주니어,기네스 팰트로우,돈 치들,스칼렛 요한슨,미키 루크"
2010,6,5,전우치,2009-12-23,26345113000,44092715000,3611472,6065355,556,73175,한국,영화사 집,씨제이엔터테인먼트,12세이상관람가,"액션,코미디,판타지",최동훈,"강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,김현식,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈"
2010,7,6,이끼,2010-07-14,25437300500,25437300500,3350303,3350303,740,58198,한국,"(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌",씨제이엔터테인먼트,청소년관람불가,"드라마,스릴러",강우석,"정재영,박해일,유준상,유선,허준호,유해진,김상호,김준배,강신일,이철민,박정재,유준상,최근현,윤아름,오순태,김철현,장준녕"
2010,8,7,포화속으로,2010-06-16,23831958600,23831958600,3330324,3330324,742,80091,한국,"(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"드라마,전쟁",이재한,"차승원,권상우,최승현,김승우,김혜성,신현탁,문재원,김득겸,신경선,추종범,홍성진,신성현,김윤성,장문석,김한준,황승현,김동윤,김동범,서승택,김경주,김대연,김규호,채호병,김태환,유승현,유영준,최민석,유한솔,윤승훈,장현근,이성문,정경일,윤진태,이세진,정재훈,정준혁,김정섭,김수형,김승환,이경현,이현종,고은총,이동훈,박진희,데이비드 맥기니스,남태부,강필선,진용욱,김호원,황유현"
2010,9,8,하모니,2010-01-28,21641750000,21641750000,3018131,3018131,384,77723,한국,(주)제이케이필름,씨제이엔터테인먼트,12세이상관람가,드라마,강대규,"김윤진,김호연,나문희,강예원,이다희,장영남,박준면,정수영,손미희,정혜원,홍민기,김원영,신정원,김해용,박지연,서동현,박란,유정민,이효준,임채연,윤익준,윤정빈,박선희,오은미,정재민,염은하,최은찬,전수지,김양성,김현수,김재화,황금희"
2010,10,9,방자전,2010-06-02,22490024000,22490024000,2985483,2985483,495,67562,한국,"(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스",씨제이엔터테인먼트,청소년관람불가,"사극,코미디,멜로/로맨스",김대우,"김주혁,류승범,조여정,류현경,오달수,송새벽,오정세,공형진,김성령,최무성,김선영,김민교,조창현,안정희,박은혜,조명행,전세하,김형석,박영미,문원주,류현상,송슬기,박대희,유은아,정다혜,윤주영,최성일,김탁호,이진운,양시은,송지인"
